Diederichs Lab - RNA Biology & Cancer 
 German Cancer Research Center (DKFZ) - Heidelberg - Germany 
 http://r-deep.dkfz.de 
 Caudron-Herger et al. 2019 Molecular Cell 75 1-16 
 June 30 2022 
 
"Entry_Name","Uniprot_ID","Gene_Name","Times_Listed_as_RBP","R_DeeP_shift","Baltz_2012","Castello_2012","Beckmann_2015","Castello_2016","Conrad_2016","Mullari_2017","Bao_2018","Perez_Perri_2018","Trendel_2018","Gene_Ontology_RNA_Binding","Cook_2011","Kwon_2013","Ray_2013","Gerstberger_2014","He_2016","Hendrickson_2016","Sundararaman_2016","Brannan_2016","Treiber_2017"
"SRSF1_HUMAN","Q07955","SRSF1",17,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," ","X","X"," "
"SRSF9_HUMAN","Q13242","SRSF9",17,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," ","X","X"," "
"TIAR_HUMAN","Q01085","TIAL1",17,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," ","X"," ","X"
"TRA2A_HUMAN","Q13595","TRA2A",17,"X","X","X","X","X","X","X","X","X"," ","X","X","X","X","X","X"," ","X","X","X"
"U2AF2_HUMAN","P26368","U2AF2",17,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," ","X","X"," "
"VIGLN_HUMAN","Q00341","HDLBP",17,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," ","X","X"," "
"ZFR_HUMAN","Q96KR1","ZFR",17,"X","X","X","X","X","X","X","X","X","X","X","X","X"," ","X","X"," ","X","X","X"
"CIRBP_HUMAN","Q14011","CIRBP",16,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," "," ","X","X"," "
"CPSF6_HUMAN","Q16630","CPSF6",16,"X","X","X","X"," "," ","X","X","X","X","X","X","X","X","X","X"," ","X","X","X"
"CPSF7_HUMAN","Q8N684","CPSF7",16,"X","X","X","X"," ","X","X","X","X","X","X","X"," ","X","X","X"," ","X","X","X"
"CSTFT_HUMAN","Q9H0L4","CSTF2T",16,"X","X","X","X"," ","X","X","X","X","X","X","X","X","X","X","X"," ","X","X"," "
"DDX56_HUMAN","Q9NY93","DDX56",16,"X","X","X","X","X","X","X","X","X","X","X"," ","X"," ","X","X"," ","X","X","X"
"DHX8_HUMAN","Q14562","DHX8",16,"X","X","X","X","X","X","X","X","X","X","X","X"," ","X","X","X"," ","X","X"," "
"EWS_HUMAN","Q01844","EWSR1",16,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," "," ","X","X"," "
"FUBP1_HUMAN","Q96AE4","FUBP1",16," ","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," ","X"," "," "
"FUBP2_HUMAN","Q92945","KHSRP",16," ","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," ","X"," "," "
"FXR1_HUMAN","P51114","FXR1",16,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," "," ","X","X"," "
"G3BP1_HUMAN","Q13283","G3BP1",16,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," "," ","X","X"," "
"HNRH3_HUMAN","P31942","HNRNPH3",16,"X","X","X","X","X","X","X","X","X","X","X","X"," ","X","X","X"," ","X"," ","X"
"HNRLL_HUMAN","Q8WVV9","HNRNPLL",16,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," ","X"," "," "
"HNRPD_HUMAN","Q14103","HNRNPD",16,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," ","X"," "," "
"KHDR1_HUMAN","Q07666","KHDRBS1",16,"X","X","X","X"," ","X","X","X","X","X","X","X","X","X","X","X"," ","X","X"," "
"LA_HUMAN","P05455","SSB",16,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," "," ","X","X"," "
"LARP1_HUMAN","Q6PKG0","LARP1",16,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," "," ","X","X"," "
"LARP4_HUMAN","Q71RC2","LARP4",16,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," "," ","X","X"," "
"MATR3_HUMAN","P43243","MATR3",16,"X","X","X","X","X","X","X","X","X","X","X","X"," ","X","X","X"," "," ","X","X"
"MK67I_HUMAN","Q9BYG3","NIFK",16,"X","X","X","X","X"," ","X","X","X","X","X","X","X","X","X","X"," ","X","X"," "
"NUCL_HUMAN","P19338","NCL",16,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," "," ","X"," "
"PABP4_HUMAN","Q13310","PABPC4",16,"X","X","X","X","X","X","X","X","X","X","X","X"," ","X","X","X"," ","X","X"," "
"PUM1_HUMAN","Q14671","PUM1",16," ","X","X"," ","X","X","X","X","X","X","X","X","X","X","X"," "," ","X","X","X"
"PUM2_HUMAN","Q8TB72","PUM2",16," ","X","X","X"," ","X","X","X","X","X","X","X","X","X","X"," "," ","X","X","X"
"RB12B_HUMAN","Q8IXT5","RBM12B",16," ","X","X","X","X","X","X","X","X","X","X","X"," ","X","X"," "," ","X","X","X"
"RBM14_HUMAN","Q96PK6","RBM14",16,"X","X","X","X","X","X","X","X","X","X","X","X","X"," ","X","X"," ","X"," ","X"
"RBM15_HUMAN","Q96T37","RBM15",16,"X","X","X","X","X","X","X","X","X","X","X","X"," ","X","X","X"," ","X","X"," "
"RBM28_HUMAN","Q9NW13","RBM28",16,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," "," ","X","X"," "
"RBM3_HUMAN","P98179","RBM3",16,"X","X","X","X","X","X","X"," ","X","X","X","X","X","X","X","X"," ","X","X"," "
"RBM34_HUMAN","P42696","RBM34",16,"X","X","X","X"," ","X","X","X","X","X","X","X","X","X","X","X"," ","X","X"," "
"RBM39_HUMAN","Q14498","RBM39",16,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," "," ","X","X"," "
"RBM5_HUMAN","P52756","RBM5",16,"X","X"," ","X","X","X","X","X","X","X","X","X","X","X","X"," "," ","X","X","X"
"RFOX2_HUMAN","O43251","RBFOX2",16,"X","X","X","X"," ","X","X","X"," ","X","X","X","X","X","X","X"," ","X","X","X"
"ROA2_HUMAN","P22626","HNRNPA2B1",16,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," "," "," ","X"
"ROAA_HUMAN","Q99729","HNRNPAB",16,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," ","X"," "," "
"SPT6H_HUMAN","Q7KZ85","SUPT6H",16,"X","X","X","X"," ","X","X","X","X","X","X","X","X","X","X","X"," ","X","X"," "
"SRSF3_HUMAN","P84103","SRSF3",16,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," ","X"," "," "
"SRSF5_HUMAN","Q13243","SRSF5",16,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," "," ","X","X"," "
"SRSF6_HUMAN","Q13247","SRSF6",16,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," ","X"," "," "
"STF1_HUMAN","Q13285","NR5A1",16," ","X","X","X","X","X"," "," ","X","X","X","X","X","X","X","X"," ","X","X","X"
"TADBP_HUMAN","Q13148","TARDBP",16,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," ","X"," "," "
"THOC4_HUMAN","Q86V81","ALYREF",16,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," "," ","X","X"," "
"TIA1_HUMAN","P31483","TIA1",16,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," ","X"," "," "
"YBOX3_HUMAN","P16989","YBX3",16,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"," "," "," ","X","X"
"AQR_HUMAN","O60306","AQR",15,"X","X","X","X","X","X","X","X","X","X","X"," ","X"," ","X","X"," "," ","X","X"
"CHERP_HUMAN","Q8IWX8","CHERP",15,"X","X","X","X"," ","X","X","X","X","X","X","X"," "," ","X","X"," ","X","X","X"
