Diederichs Lab - RNA Biology & Cancer 
 German Cancer Research Center (DKFZ) - Heidelberg - Germany 
 http://r-deep.dkfz.de 
 Caudron-Herger et al. 2019 Molecular Cell 75 1-16 
 June 30 2022 
 
"Entry_Name","Uniprot_ID","Gene_Name","Times_Listed_as_RBP","R_DeeP_shift","Baltz_2012","Castello_2012","Beckmann_2015","Castello_2016","Conrad_2016","Mullari_2017","Bao_2018","Perez_Perri_2018","Trendel_2018","Gene_Ontology_RNA_Binding","Cook_2011","Kwon_2013","Ray_2013","Gerstberger_2014","He_2016","Hendrickson_2016","Sundararaman_2016","Brannan_2016","Treiber_2017"
"TSNAX_HUMAN","Q99598","TSNAX",5," ","X"," ","X"," "," "," "," "," ","X","X"," "," "," ","X"," "," "," "," "," "
"TTP_HUMAN","P26651","ZFP36",5," "," ","X"," "," "," "," "," "," "," ","X","X"," ","X","X"," "," "," "," "," "
"TYB4_HUMAN","P62328","TMSB4X",5," "," ","X"," ","X"," ","X"," "," ","X","X"," "," "," "," "," "," "," "," "," "
"U2AF4_HUMAN","Q8WU68","U2AF1L4",5," "," "," "," "," "," "," "," "," "," ","X","X"," ","X","X"," "," "," ","X"," "
"UBE2O_HUMAN","Q9C0C9","UBE2O",5," ","X"," ","X"," "," "," "," "," ","X","X"," "," "," "," "," "," "," ","X"," "
"UBIM_HUMAN","P35544","FAU",5," ","X"," ","X"," "," "," "," "," ","X","X"," "," "," ","X"," "," "," "," "," "
"UBR5_HUMAN","O95071","UBR5",5," "," "," "," "," "," ","X","X"," ","X","X"," "," "," "," "," "," "," ","X"," "
"UHMK1_HUMAN","Q8TAS1","UHMK1",5," "," "," "," "," "," "," "," "," "," ","X","X"," ","X","X"," "," ","X"," "," "
"WBP11_HUMAN","Q9Y2W2","WBP11",5,"X","X"," ","X","X"," "," "," "," ","X","X"," "," "," "," "," "," "," "," "," "
"XPO2_HUMAN","P55060","CSE1L",5," "," "," ","X","X"," ","X","X"," ","X"," "," "," "," "," "," "," "," "," "," "
"ZGPAT_HUMAN","Q8N5A5","ZGPAT",5," "," "," "," "," "," "," "," "," "," "," ","X"," ","X","X"," "," ","X","X"," "
"ZN768_HUMAN","Q9H5H4","ZNF768",5," ","X"," "," "," "," "," "," "," ","X","X"," "," "," ","X"," "," "," ","X"," "
"ZN823_HUMAN","P16415","ZNF823",5,"X"," ","X"," "," "," "," "," "," "," ","X","X"," ","X","X"," "," "," "," "," "
"1433B_HUMAN","P31946","YWHAB",4," "," "," "," ","X"," ","X","X"," "," "," "," "," "," "," "," "," "," ","X"," "
"1433F_HUMAN","Q04917","YWHAH",4," "," "," "," "," "," ","X"," "," "," "," "," ","X"," "," ","X"," "," ","X"," "
"ABCF2_HUMAN","Q9UG63","ABCF2",4,"X"," "," "," "," "," ","X","X","X","X"," "," "," "," "," "," "," "," "," "," "
"ACON_HUMAN","Q99798","ACO2",4," "," "," "," ","X"," ","X"," "," ","X"," "," "," "," "," ","X"," "," "," "," "
"ADDA_HUMAN","P35611","ADD1",4," "," ","X"," "," "," "," "," "," ","X","X"," "," "," "," ","X"," "," "," "," "
"ADK_HUMAN","P55263","ADK",4," "," ","X"," ","X"," "," "," "," "," ","X"," "," "," "," "," "," "," ","X"," "
"AFF4_HUMAN","Q9UHB7","AFF4",4," "," "," "," ","X"," "," "," "," ","X"," "," "," "," ","X"," "," "," ","X"," "
"ALG13_HUMAN","Q9NP73","ALG13",4," ","X"," "," "," "," "," "," "," "," ","X"," ","X"," "," "," "," "," ","X"," "
"ALKB8_HUMAN","Q96BT7","ALKBH8",4," "," "," "," "," "," "," "," "," "," ","X","X"," ","X","X"," "," "," "," "," "
"ANX11_HUMAN","P50995","ANXA11",4," ","X"," "," "," "," "," ","X"," ","X","X"," "," "," "," "," "," "," "," "," "
"ATX1_HUMAN","P54253","ATXN1",4," "," "," "," "," "," "," "," "," "," ","X"," "," "," ","X"," "," ","X","X"," "
"ATX1L_HUMAN","P0C7T5","ATXN1L",4," "," "," "," "," "," "," "," "," "," ","X"," "," "," ","X"," "," ","X","X"," "
"BAG4_HUMAN","O95429","BAG4",4," ","X"," ","X"," "," "," "," "," "," ","X"," "," "," "," "," "," "," ","X"," "
"BAZ2A_HUMAN","Q9UIF9","BAZ2A",4," "," "," "," "," "," ","X"," "," "," ","X"," "," "," ","X","X"," "," "," "," "
"BCCIP_HUMAN","Q9P287","BCCIP",4," "," ","X"," "," "," "," "," "," ","X","X"," "," "," "," "," "," "," ","X"," "
"BN3D2_HUMAN","Q7Z5W3","BCDIN3D",4," "," "," "," "," "," "," "," "," ","X"," "," "," "," ","X"," "," ","X","X"," "
"BRD2_HUMAN","P25440","BRD2",4,"X"," "," "," ","X"," "," "," "," ","X"," "," "," "," "," ","X"," "," ","X"," "
"C19L2_HUMAN","Q2TBE0","CWF19L2",4," "," "," "," "," "," "," "," "," ","X"," "," "," "," ","X","X"," "," ","X"," "
"C1TC_HUMAN","P11586","MTHFD1",4," "," "," "," ","X"," ","X","X"," ","X"," "," "," "," "," "," "," "," "," "," "
"CA131_HUMAN","Q8NDD1","C1orf131",4," ","X","X"," "," "," "," "," "," ","X","X"," "," "," "," "," "," "," "," "," "
"CAF17_HUMAN","Q5T440","IBA57",4," ","X"," "," "," "," "," "," "," "," ","X"," "," "," "," ","X"," "," ","X"," "
"CAND1_HUMAN","Q86VP6","CAND1",4," "," "," ","X"," "," ","X","X"," ","X"," "," "," "," "," "," "," "," "," "," "
"CCD47_HUMAN","Q96A33","CCDC47",4," "," ","X"," "," "," ","X"," "," ","X","X"," "," "," "," "," "," "," "," "," "
"CD2B2_HUMAN","O95400","CD2BP2",4,"X"," "," "," "," "," ","X"," "," "," "," "," "," "," ","X","X"," "," ","X"," "
"CDC37_HUMAN","Q16543","CDC37",4," "," "," "," "," "," ","X","X"," ","X"," "," "," "," "," "," "," "," ","X"," "
"CDK9_HUMAN","P50750","CDK9",4,"X"," "," "," "," "," "," "," "," ","X","X"," "," "," ","X"," "," "," ","X"," "
"CHD1_HUMAN","O14646","CHD1",4,"X"," "," "," "," "," ","X"," ","X","X"," "," "," "," "," "," ","X"," "," "," "
"CHD3_HUMAN","Q12873","CHD3",4,"X"," ","X"," "," "," "," ","X","X"," ","X"," "," "," "," "," "," "," "," "," "
"CISD2_HUMAN","Q8N5K1","CISD2",4,"X"," ","X"," ","X"," ","X"," "," "," ","X"," "," "," "," "," "," "," "," "," "
"CISY_HUMAN","O75390","CS",4," ","X"," "," "," "," ","X"," "," ","X","X"," "," "," "," "," "," "," "," "," "
"CLU_HUMAN","O75153","CLUH",4," "," "," "," "," "," ","X"," ","X","X","X"," "," "," "," "," "," "," "," "," "
"CNOT7_HUMAN","Q9UIV1","CNOT7",4," "," "," "," "," "," "," "," "," "," ","X"," "," "," ","X"," "," ","X","X"," "
"CNOT8_HUMAN","Q9UFF9","CNOT8",4," "," "," "," "," "," "," "," "," "," ","X"," "," "," ","X"," "," ","X","X"," "
"CPS4L_HUMAN","A6NMK7","CPSF4L",4," "," "," "," "," "," "," "," "," "," ","X","X"," ","X","X"," "," "," "," "," "
"CRKL_HUMAN","P46109","CRKL",4," "," ","X","X"," "," "," "," "," "," ","X"," "," "," "," "," "," "," ","X"," "
"CSDC2_HUMAN","Q9Y534","CSDC2",4," "," "," "," "," "," "," "," "," "," ","X","X"," ","X","X"," "," "," "," "," "
"CSRP1_HUMAN","P21291","CSRP1",4," "," ","X"," ","X"," "," "," "," ","X","X"," "," "," "," "," "," "," "," "," "
"CTIF_HUMAN","O43310","CTIF",4," "," "," "," "," "," "," "," "," ","X","X"," "," "," ","X"," "," "," ","X"," "
"CYTB_HUMAN","P04080","CSTB",4," "," ","X"," "," "," ","X"," "," ","X","X"," "," "," "," "," "," "," "," "," "
"DC1I2_HUMAN","Q13409","DYNC1I2",4," "," "," "," ","X"," ","X"," "," ","X"," "," "," "," "," "," "," "," ","X"," "
"DC1L1_HUMAN","Q9Y6G9","DYNC1LI1",4," "," ","X"," "," "," ","X"," "," "," ","X"," "," "," "," "," "," "," ","X"," "
"DCP1A_HUMAN","Q9NPI6","DCP1A",4," "," "," "," "," "," "," "," "," "," ","X"," "," "," ","X"," "," "," ","X","X"
"DCP2_HUMAN","Q8IU60","DCP2",4," "," "," "," "," "," "," "," "," "," ","X"," "," "," ","X"," "," "," ","X","X"
"DDB1_HUMAN","Q16531","DDB1",4," "," "," "," "," "," ","X","X"," ","X"," "," "," "," "," ","X"," "," "," "," "
"DDX25_HUMAN","Q9UHL0","DDX25",4," "," "," "," "," "," "," "," "," "," ","X"," "," "," ","X"," "," ","X","X"," "
"DGCR8_HUMAN","Q8WYQ5","DGCR8",4,"X"," "," "," "," "," "," "," "," "," ","X"," "," "," ","X"," "," ","X","X"," "
"DLDH_HUMAN","P09622","DLD",4,"X"," "," ","X","X"," ","X"," "," ","X"," "," "," "," "," "," "," "," "," "," "
"DND1_HUMAN","Q8IYX4","DND1",4," "," "," "," "," "," "," "," "," "," ","X","X"," "," ","X"," "," ","X"," "," "
"DNJC2_HUMAN","Q99543","DNAJC2",4," "," ","X"," "," "," "," "," "," ","X","X"," "," "," "," "," "," "," ","X"," "
"DPPA5_HUMAN","A6NC42","DPPA5",4," "," "," "," "," "," "," "," "," "," ","X","X"," ","X"," "," "," ","X"," "," "
"DSG1_HUMAN","Q02413","DSG1",4," "," "," "," "," "," ","X","X","X","X"," "," "," "," "," "," "," "," "," "," "
"DUT_HUMAN","P33316","DUT",4," "," ","X"," "," "," ","X","X"," "," ","X"," "," "," "," "," "," "," "," "," "
"E41L2_HUMAN","O43491","EPB41L2",4," "," "," ","X"," "," "," "," "," ","X"," "," "," "," "," ","X"," "," ","X"," "
"ECHM_HUMAN","P30084","ECHS1",4," "," "," "," "," "," ","X","X"," ","X"," "," "," "," "," ","X"," "," "," "," "
"EDC3_HUMAN","Q96F86","EDC3",4," "," "," "," "," "," "," "," "," "," ","X"," "," "," ","X"," "," "," ","X","X"
"EF1A2_HUMAN","Q05639","EEF1A2",4,"X"," "," "," "," "," "," "," "," ","X","X"," "," "," ","X"," "," "," ","X"," "
"EF1B_HUMAN","P24534","EEF1B2",4,"X"," "," "," "," "," ","X"," "," "," ","X"," "," "," ","X"," "," "," ","X"," "
"EI2BD_HUMAN","Q9UI10","EIF2B4",4," "," "," "," "," "," ","X"," "," "," ","X"," "," "," ","X"," "," "," ","X"," "
"EIF1_HUMAN","P41567","EIF1",4," ","X"," "," "," "," "," "," "," ","X","X"," "," "," ","X"," "," "," "," "," "
"EIF1A_HUMAN","Q8N9N8","EIF1AD",4," "," "," "," "," "," "," "," "," ","X","X"," "," "," ","X"," "," "," ","X"," "
"EIF1B_HUMAN","O60739","EIF1B",4," ","X"," ","X"," "," "," "," "," "," ","X"," "," "," ","X"," "," "," "," "," "
"EIF3K_HUMAN","Q9UBQ5","EIF3K",4," "," "," "," "," "," ","X"," "," "," ","X"," "," "," ","X"," "," "," ","X"," "
"EIF3M_HUMAN","Q7L2H7","EIF3M",4," "," "," "," "," "," ","X"," "," "," ","X"," "," "," ","X"," "," "," ","X"," "
"EIFCL_HUMAN","B5ME19","EIF3CL",4," "," "," "," "," "," "," "," ","X"," ","X"," "," "," ","X"," "," "," ","X"," "
"ELOA1_HUMAN","Q14241","ELOA",4,"X"," "," "," ","X"," "," ","X"," ","X","X"," "," "," "," "," "," "," "," "," "
"ENOX2_HUMAN","Q16206","ENOX2",4," "," "," "," "," "," "," "," "," "," "," ","X"," ","X","X"," "," ","X"," "," "
"EPIPL_HUMAN","P58107","EPPK1",4," ","X"," "," "," "," "," ","X"," ","X","X"," "," "," "," "," "," "," "," "," "
"EXOS1_HUMAN","Q9Y3B2","EXOSC1",4,"X"," "," "," "," "," "," "," "," "," ","X"," ","X"," ","X"," "," "," ","X"," "
"EZH2_HUMAN","Q15910","EZH2",4," "," "," "," "," "," "," "," "," "," ","X"," "," "," ","X","X","X"," "," "," "
"FAKD3_HUMAN","Q14CZ7","FASTKD3",4," "," ","X"," "," "," "," "," "," "," ","X"," "," "," ","X"," "," ","X"," "," "
"FEN1_HUMAN","P39748","FEN1",4,"X"," "," ","X"," "," "," ","X"," ","X"," "," "," "," "," "," "," "," ","X"," "
"FINC_HUMAN","P02751","FN1",4," "," "," ","X"," "," ","X"," "," ","X"," "," "," "," "," ","X"," "," "," "," "
"FKBP3_HUMAN","Q00688","FKBP3",4,"X"," ","X"," ","X"," "," "," "," ","X","X"," "," "," "," "," "," "," "," "," "
"FND3A_HUMAN","Q9Y2H6","FNDC3A",4," "," ","X"," "," "," "," ","X"," ","X","X"," "," "," "," "," "," "," "," "," "
"FSCN1_HUMAN","Q16658","FSCN1",4,"X"," ","X"," "," "," "," ","X"," ","X","X"," "," "," "," "," "," "," "," "," "
"G45IP_HUMAN","Q8TAE8","GADD45GIP1",4,"X"," "," "," "," "," ","X","X"," ","X"," "," "," "," "," "," "," "," ","X"," "
"GUAA_HUMAN","P49915","GMPS",4," "," "," "," "," "," ","X","X"," ","X"," "," "," "," "," "," "," "," ","X"," "
"H13_HUMAN","P16402","HIST1H1D",4,"X","X"," "," "," ","X","X"," "," "," ","X"," "," "," "," "," "," "," "," "," "
"H2AY_HUMAN","O75367","H2AFY",4," "," "," "," ","X"," ","X","X"," ","X"," "," "," "," "," "," "," "," "," "," "
"HABP4_HUMAN","Q5JVS0","HABP4",4," "," "," ","X"," "," "," "," "," ","X"," "," "," "," ","X"," "," ","X"," "," "
"HBS1L_HUMAN","Q9Y450","HBS1L",4,"X"," "," "," "," "," "," "," "," ","X","X"," "," "," ","X"," "," "," ","X"," "
"HCFC1_HUMAN","P51610","HCFC1",4,"X"," "," "," "," "," ","X","X"," ","X"," "," "," "," "," ","X"," "," "," "," "
"HEAT6_HUMAN","Q6AI08","HEATR6",4," ","X"," "," "," "," "," ","X"," ","X","X"," "," "," "," "," "," "," "," "," "
"HLTF_HUMAN","Q14527","HLTF",4,"X"," ","X"," "," "," ","X"," "," ","X","X"," "," "," "," "," "," "," "," "," "
"HS105_HUMAN","Q92598","HSPH1",4," "," "," "," "," "," ","X","X"," ","X"," "," "," "," "," ","X"," "," "," "," "
"ICLN_HUMAN","P54105","CLNS1A",4,"X"," ","X"," "," "," ","X"," "," "," ","X"," "," "," "," "," "," "," ","X"," "
"ICT1_HUMAN","Q14197","MRPL58",4,"X"," "," "," "," "," ","X"," "," "," ","X"," "," "," ","X"," "," "," ","X"," "
"IF1AY_HUMAN","O14602","EIF1AY",4," "," "," "," "," "," "," "," ","X"," ","X"," "," "," ","X"," "," "," ","X"," "
"IFIT2_HUMAN","P09913","IFIT2",4," "," ","X"," "," "," "," "," "," ","X","X"," "," "," ","X"," "," "," "," "," "
"IMDH2_HUMAN","P12268","IMPDH2",4," "," "," "," "," "," ","X","X","X"," ","X"," "," "," "," "," "," "," "," "," "
"IQGA1_HUMAN","P46940","IQGAP1",4," "," "," "," "," "," ","X","X"," ","X"," "," "," "," "," ","X"," "," "," "," "
"K1C18_HUMAN","P05783","KRT18",4," "," ","X"," "," "," ","X"," "," ","X","X"," "," "," "," "," "," "," "," "," "
"LITD1_HUMAN","Q5T7N2","L1TD1",4," "," "," "," "," "," "," "," "," "," ","X"," ","X"," ","X","X"," "," "," "," "
"LMNA_HUMAN","P02545","LMNA",4," "," "," "," ","X"," ","X","X"," ","X"," "," "," "," "," "," "," "," "," "," "
"LORF1_HUMAN","Q9UN81","L1RE1",4," "," "," "," "," "," ","X","X"," ","X","X"," "," "," "," "," "," "," "," "," "
"M2OM_HUMAN","Q02978","SLC25A11",4," ","X"," "," "," "," ","X","X"," "," ","X"," "," "," "," "," "," "," "," "," "
"M3K20_HUMAN","Q9NYL2","MAP3K20",4," ","X"," "," "," "," "," ","X"," ","X","X"," "," "," "," "," "," "," "," "," "
"MACF1_HUMAN","Q9UPN3","MACF1",4," ","X"," "," "," "," "," "," "," ","X","X"," "," "," "," ","X"," "," "," "," "
"MANF_HUMAN","P55145","MANF",4," "," "," "," ","X"," ","X"," "," ","X","X"," "," "," "," "," "," "," "," "," "
"MAP2_HUMAN","P50579","METAP2",4,"X"," ","X"," "," "," "," ","X"," ","X","X"," "," "," "," "," "," "," "," "," "
"MCM2_HUMAN","P49736","MCM2",4," "," "," "," "," "," ","X","X"," "," "," "," "," "," "," ","X"," "," ","X"," "
"MCM3_HUMAN","P25205","MCM3",4," "," "," "," "," "," ","X","X","X","X"," "," "," "," "," "," "," "," "," "," "
"MDC1_HUMAN","Q14676","MDC1",4," "," "," "," "," ","X","X"," "," ","X"," "," "," "," "," "," "," "," ","X"," "
"MDN1_HUMAN","Q9NU22","MDN1",4," "," "," "," "," "," ","X","X"," ","X"," "," "," "," "," ","X"," "," "," "," "
"MKRN3_HUMAN","Q13064","MKRN3",4," "," "," ","X"," "," "," "," "," "," "," ","X"," ","X","X"," "," "," "," "," "
"MRPP3_HUMAN","O15091","KIAA0391",4,"X"," "," "," "," "," "," ","X"," ","X"," "," "," "," ","X"," "," "," ","X"," "
"MTEF1_HUMAN","Q99551","MTERF1",4," ","X"," "," "," "," "," ","X"," ","X","X"," "," "," "," "," "," "," "," "," "
"MTEF3_HUMAN","Q96E29","MTERF3",4,"X"," "," "," "," "," ","X"," "," ","X"," "," "," "," "," "," "," "," ","X","X"
"MTEF4_HUMAN","Q7Z6M4","MTERF4",4,"X"," "," "," "," "," "," "," "," ","X","X"," "," "," ","X"," "," "," ","X"," "
"MTO1_HUMAN","Q9Y2Z2","MTO1",4," ","X"," "," "," "," "," "," "," "," ","X"," "," "," ","X"," "," "," ","X"," "
"MYO5A_HUMAN","Q9Y4I1","MYO5A",4," ","X"," "," "," "," "," "," "," ","X","X"," "," "," "," ","X"," "," "," "," "
"NACAM_HUMAN","E9PAV3","NACA",4," "," "," "," "," "," ","X"," ","X","X"," "," ","X"," "," "," "," "," "," "," "
"NANO2_HUMAN","P60321","NANOS2",4," "," "," "," "," "," "," "," "," "," ","X"," "," "," ","X"," "," ","X","X"," "
"NDKA_HUMAN","P15531","NME1",4," "," ","X"," ","X"," ","X"," "," "," ","X"," "," "," "," "," "," "," "," "," "
"NKAP_HUMAN","Q8N5F7","NKAP",4,"X","X"," "," "," "," "," "," "," ","X","X"," "," "," "," "," "," "," ","X"," "
"NKTR_HUMAN","P30414","NKTR",4," "," "," "," "," ","X","X"," "," ","X"," "," "," "," "," "," "," "," ","X"," "
"NOB1_HUMAN","Q9ULX3","NOB1",4," "," "," "," "," "," "," "," "," ","X"," "," "," "," ","X"," "," ","X","X"," "
"NQO1_HUMAN","P15559","NQO1",4," "," ","X","X","X"," "," "," "," "," ","X"," "," "," "," "," "," "," "," "," "
"NSUN4_HUMAN","Q96CB9","NSUN4",4," "," "," "," "," "," "," "," "," ","X","X"," "," "," ","X"," "," "," ","X"," "
"NU153_HUMAN","P49790","NUP153",4," "," "," "," "," "," "," "," "," "," "," "," "," ","X","X","X"," "," ","X"," "
"NU155_HUMAN","O75694","NUP155",4," "," "," "," "," "," ","X","X"," ","X"," "," "," "," "," ","X"," "," "," "," "
"NU205_HUMAN","Q92621","NUP205",4," "," "," "," "," "," ","X","X"," ","X"," "," "," "," "," ","X"," "," "," "," "
"NUMA1_HUMAN","Q14980","NUMA1",4,"X"," "," "," "," "," ","X","X"," ","X"," "," "," "," "," ","X"," "," "," "," "
"NUP93_HUMAN","Q8N1F7","NUP93",4," "," "," "," "," "," ","X","X"," ","X"," "," "," "," "," ","X"," "," "," "," "
"NUP98_HUMAN","P52948","NUP98",4," "," "," "," "," "," "," "," "," ","X","X"," "," "," "," ","X","X"," "," "," "
"NUSAP_HUMAN","Q9BXS6","NUSAP1",4,"X"," ","X"," "," "," "," "," "," ","X","X"," ","X"," "," "," "," "," "," "," "
"OASL_HUMAN","Q15646","OASL",4," "," ","X"," "," "," "," "," "," ","X","X"," "," "," ","X"," "," "," "," "," "
"PAN3_HUMAN","Q58A45","PAN3",4," "," "," "," "," "," "," "," "," "," ","X","X"," ","X","X"," "," "," "," "," "
"PDS5A_HUMAN","Q29RF7","PDS5A",4,"X"," "," "," ","X"," ","X","X"," ","X"," "," "," "," "," "," "," "," "," "," "
"PGK1_HUMAN","P00558","PGK1",4," "," "," "," "," "," ","X","X","X","X"," "," "," "," "," "," "," "," "," "," "
"PHAX_HUMAN","Q9H814","PHAX",4," "," "," "," "," "," ","X"," "," "," ","X"," "," "," ","X"," "," "," ","X"," "
"PHF6_HUMAN","Q8IWS0","PHF6",4,"X"," ","X"," "," "," "," "," ","X","X","X"," "," "," "," "," "," "," "," "," "
"PK1IP_HUMAN","Q9NWT1","PAK1IP1",4,"X"," "," "," "," "," "," "," ","X","X"," "," ","X"," "," "," "," "," ","X"," "
"PNISR_HUMAN","Q8TF01","PNISR",4," ","X"," "," "," "," "," "," "," "," ","X"," "," "," "," ","X"," "," ","X"," "
"PO210_HUMAN","Q8TEM1","NUP210",4,"X"," "," "," "," "," ","X"," "," ","X"," "," "," "," "," ","X"," "," ","X"," "
"PPIF_HUMAN","P30405","PPIF",4," "," "," ","X","X"," ","X"," ","X"," "," "," "," "," "," "," "," "," "," "," "
"PPM1G_HUMAN","O15355","PPM1G",4," "," "," "," "," "," ","X","X"," ","X"," "," "," "," "," "," "," "," ","X"," "
"PRDX2_HUMAN","P32119","PRDX2",4," "," "," "," "," "," ","X","X","X","X"," "," "," "," "," "," "," "," "," "," "
"PRDX6_HUMAN","P30041","PRDX6",4," "," "," "," "," "," ","X","X"," ","X"," "," "," "," "," ","X"," "," "," "," "
"PRS4_HUMAN","P62191","PSMC1",4," "," ","X"," "," "," ","X","X"," "," ","X"," "," "," "," "," "," "," "," "," "
"PTEN_HUMAN","P60484","PTEN",4," "," "," "," "," "," "," "," "," "," ","X","X"," "," ","X"," "," ","X"," "," "
"PUR6_HUMAN","P22234","PAICS",4," "," "," ","X"," "," ","X","X"," ","X"," "," "," "," "," "," "," "," "," "," "
"PURG_HUMAN","Q9UJV8","PURG",4," ","X"," "," "," "," "," "," "," "," ","X"," "," "," ","X"," "," ","X"," "," "
"R113A_HUMAN","O15541","RNF113A",4," "," "," "," "," "," ","X"," "," "," "," ","X"," ","X","X"," "," "," "," "," "
"RADX_HUMAN","Q6NSI4","RADX",4," ","X"," "," "," "," ","X"," "," ","X","X"," "," "," "," "," "," "," "," "," "
"RAE1L_HUMAN","P78406","RAE1",4,"X"," "," "," "," "," ","X"," "," "," ","X"," "," "," ","X","X"," "," "," "," "
"RCC1_HUMAN","P18754","RCC1",4," "," "," "," "," "," ","X","X"," ","X"," "," "," "," "," "," "," "," ","X"," "
"RDM1_HUMAN","Q8NG50","RDM1",4," "," "," "," "," "," "," "," "," "," ","X","X"," ","X","X"," "," "," "," "," "
"RECQ1_HUMAN","P46063","RECQL",4,"X"," "," "," "," "," "," ","X"," ","X"," "," "," "," "," "," "," ","X","X"," "
"RFA1_HUMAN","P27694","RPA1",4,"X"," "," "," "," "," ","X"," ","X","X"," "," "," "," "," ","X"," "," "," "," "
"RFOX3_HUMAN","A6NFN3","RBFOX3",4," "," "," "," "," "," "," "," "," "," ","X"," "," ","X","X"," "," ","X"," "," "
"RIDA_HUMAN","P52758","RIDA",4," "," ","X"," "," "," "," "," ","X"," ","X"," "," "," ","X"," "," "," "," "," "
"RIOK1_HUMAN","Q9BRS2","RIOK1",4," "," "," "," "," "," "," "," ","X","X"," "," "," "," ","X"," "," "," ","X"," "
"RL36A_HUMAN","P83881","RPL36A",4,"X","X"," "," "," "," "," "," "," ","X","X"," "," "," ","X"," "," "," "," "," "
"RL40_HUMAN","P62987","UBA52",4," "," "," "," "," "," "," ","X","X","X"," "," "," "," ","X"," "," "," "," "," "
"RLP24_HUMAN","Q9UHA3","RSL24D1",4,"X"," "," ","X"," "," ","X"," "," "," "," "," "," "," ","X"," "," "," ","X"," "
"RM12_HUMAN","P52815","MRPL12",4,"X"," "," "," "," "," ","X"," "," "," ","X"," "," "," ","X"," "," "," ","X"," "
"RM17_HUMAN","Q9NRX2","MRPL17",4," "," "," "," "," "," ","X"," "," ","X"," "," "," "," ","X"," "," "," ","X"," "
"RM23_HUMAN","Q16540","MRPL23",4," "," "," "," "," "," "," "," "," ","X","X"," "," "," ","X"," "," "," ","X"," "
"RM34_HUMAN","Q9BQ48","MRPL34",4," "," "," "," ","X"," "," "," "," ","X"," "," "," "," ","X"," "," "," ","X"," "
"RM38_HUMAN","Q96DV4","MRPL38",4," "," "," "," "," "," ","X"," "," ","X"," "," "," "," ","X"," "," "," ","X"," "
"RM47_HUMAN","Q9HD33","MRPL47",4," "," "," "," "," "," ","X"," "," ","X"," "," "," "," ","X"," "," "," ","X"," "
"RM49_HUMAN","Q13405","MRPL49",4," "," "," "," "," "," ","X"," "," ","X"," "," "," "," ","X"," "," "," ","X"," "
"RM51_HUMAN","Q4U2R6","MRPL51",4," "," "," "," ","X"," "," "," "," ","X"," "," "," "," ","X"," "," "," ","X"," "
"RM54_HUMAN","Q6P161","MRPL54",4,"X","X"," "," "," "," ","X"," "," "," ","X"," "," "," ","X"," "," "," "," "," "
"RPA49_HUMAN","Q9GZS1","POLR1E",4,"X"," "," "," "," "," "," ","X"," "," "," "," ","X"," ","X","X"," "," "," "," "
"RPAB1_HUMAN","P19388","POLR2E",4,"X"," "," "," "," "," ","X"," "," "," "," "," "," "," ","X","X"," "," ","X"," "
"RPAC1_HUMAN","O15160","POLR1C",4,"X"," "," "," "," "," "," "," "," "," "," "," ","X"," ","X","X"," "," ","X"," "
"RPB4_HUMAN","O15514","POLR2D",4," "," "," "," "," "," "," "," "," "," ","X"," "," "," ","X","X"," "," ","X"," "
"RPP29_HUMAN","O95707","POP4",4," "," "," "," "," "," "," "," "," ","X","X"," "," "," ","X"," "," "," ","X"," "
"RPR1B_HUMAN","Q9NQG5","RPRD1B",4," "," "," "," "," ","X"," ","X"," "," "," "," "," "," "," ","X"," "," ","X"," "
"RSF1_HUMAN","Q96T23","RSF1",4," "," "," "," "," "," ","X","X"," ","X"," "," "," "," "," ","X"," "," "," "," "
"RT02_HUMAN","Q9Y399","MRPS2",4,"X"," "," "," "," "," ","X"," "," ","X"," "," "," "," ","X"," "," "," ","X"," "
"RT12_HUMAN","O15235","MRPS12",4,"X","X"," "," "," "," ","X"," "," "," ","X"," "," "," ","X"," "," "," "," "," "
"RT17_HUMAN","Q9Y2R5","MRPS17",4,"X"," "," "," "," "," ","X"," "," ","X","X"," "," "," ","X"," "," "," "," "," "
"RT18B_HUMAN","Q9Y676","MRPS18B",4,"X"," "," "," "," "," ","X"," "," ","X"," "," "," "," ","X"," "," "," ","X"," "
"RT33_HUMAN","Q9Y291","MRPS33",4,"X"," "," "," "," "," ","X"," "," ","X"," "," "," "," ","X"," "," "," ","X"," "
"RT34_HUMAN","P82930","MRPS34",4,"X"," "," "," "," "," ","X"," "," ","X"," "," "," "," ","X"," "," "," ","X"," "
"RTCA_HUMAN","O00442","RTCA",4," "," ","X"," "," "," "," "," "," "," ","X"," "," "," ","X"," "," "," "," ","X"
"RTN4_HUMAN","Q9NQC3","RTN4",4," "," ","X","X"," "," ","X"," "," "," ","X"," "," "," "," "," "," "," "," "," "
"RTRAF_HUMAN","Q9Y224","RTRAF",4,"X"," ","X","X"," "," ","X"," "," "," ","X"," "," "," "," "," "," "," "," "," "
"S10A9_HUMAN","P06702","S100A9",4," "," "," "," "," ","X","X","X"," ","X"," "," "," "," "," "," "," "," "," "," "
"S61A1_HUMAN","P61619","SEC61A1",4," "," "," ","X"," "," ","X"," "," ","X"," "," ","X"," "," "," "," "," "," "," "
"SENP3_HUMAN","Q9H4L4","SENP3",4,"X"," "," "," "," "," ","X","X"," "," "," "," "," "," "," ","X"," "," ","X"," "
